scen,Pothole,rankm,Drainage,Tillage,lulc.pothole,lulc.field,capa.ratio,max.h2oshed.relief,max.flow.path,max.depth,catm3,catm6
BaseRetiredCT,mouth,4.85915777,none,contill,R,CS,10.2,5.624,350.3,0.4,b,c
BaseRetiredNT,mouth,3.596068353,none,notill,R,CS,10.2,5.624,350.3,0.4,b,c
ConTill,mouth,4.85915777,none,contill,R,CS,10.2,5.624,350.3,0.4,b,c
ConTillDrain1,mouth,4.793796456,low,contill,CS,CS,10.2,5.624,350.3,0.4,b,c
ConTillDrain2,mouth,2.483298855,medium,contill,CS,CS,10.2,5.624,350.3,0.4,b,d
ConTillDrain3,mouth,1.201187671,high,contill,CS,CS,10.2,5.624,350.3,0.4,c,e
ConTillRetired,mouth,4.85915777,none,contill,R,CS,10.2,5.624,350.3,0.4,b,c
CoverCrop,mouth,3.925107507,none,notill,R,CS,10.2,5.624,350.3,0.4,b,c
Drain0,mouth,6.463838409,none,conventional,CS,CS,10.2,5.624,350.3,0.4,a,b
Drain1,mouth,5.192794533,low,conventional,CS,CS,10.2,5.624,350.3,0.4,b,c
Drain2,mouth,2.519051861,medium,conventional,CS,CS,10.2,5.624,350.3,0.4,b,d
Drain3,mouth,1.279383222,high,conventional,CS,CS,10.2,5.624,350.3,0.4,c,e
Drain0CT,mouth,6.044833036,none,contill,CS,CS,10.2,5.624,350.3,0.4,a,b
Drain0NT,mouth,4.671042459,none,notill,CS,CS,10.2,5.624,350.3,0.4,b,c
Drain1NT,mouth,3.533885481,low,notill,CS,CS,10.2,5.624,350.3,0.4,b,d
Drain1Retired,mouth,3.365381396,low,conventional,R,CS,10.2,5.624,350.3,0.4,b,d
Drain1RetiredAll,mouth,1.152199075,low,N/A,R,CS,10.2,5.624,350.3,0.4,c,e
Drain1RetiredCT,mouth,4.133984945,low,contill,R,CS,10.2,5.624,350.3,0.4,b,c
Drain1RetiredNT,mouth,3.162397177,low,notill,R,CS,10.2,5.624,350.3,0.4,b,d
Drain2NT,mouth,2.032649303,medium,notill,CS,CS,10.2,5.624,350.3,0.4,b,d
Drain2Retired,mouth,1.870014155,medium,conventional,R,CS,10.2,5.624,350.3,0.4,c,e
Drain2RetiredAll,mouth,0.615872097,medium,N/A,R,CS,10.2,5.624,350.3,0.4,c,f
Drain2RetiredCT,mouth,1.921095091,medium,contill,R,CS,10.2,5.624,350.3,0.4,c,e
Drain2RetiredNT,mouth,1.651561637,medium,notill,R,CS,10.2,5.624,350.3,0.4,c,e
Drain3NT,mouth,0.869228114,high,notill,CS,CS,10.2,5.624,350.3,0.4,c,f
Drain3Retired,mouth,0.868099109,high,conventional,R,CS,10.2,5.624,350.3,0.4,c,f
Drain3RetiredAll,mouth,0.239095079,high,N/A,R,CS,10.2,5.624,350.3,0.4,c,f
Drain3RetiredCT,mouth,0.896266564,high,contill,R,CS,10.2,5.624,350.3,0.4,c,f
